ansatzbezeichnung;kontenbezeichnung;voranschlag-rj
Amtsgebäude Schmiedgasse 1-5;Geringwertige Wirtschaftsgüter;22100
Amtsgebäude Schmiedgasse 1-5;Brennstoffe;18500
Amtsgebäude Schmiedgasse 1-5;Reinigungsmittel;3500
Amtsgebäude Schmiedgasse 1-5;Sonstige Verbrauchsgüter;2200
Amtsgebäude Schmiedgasse 1-5;Blumenschmuck;5000
Amtsgebäude Schmiedgasse 1-5;Energiebezüge;23000
Amtsgebäude Schmiedgasse 1-5;Instandhaltung von Gebäuden und Bauten;70500
Amtsgebäude Schmiedgasse 1-5;Instandh. Aufzug;2000
Amtsgebäude Schmiedgasse 1-5;Instandh. Heizung, Klimaanl.;2500
Amtsgebäude Schmiedgasse 1-5;Instandh. Brandmeldeanlage;4000
Amtsgebäude Schmiedgasse 1-5;Instandhaltung von sonstigen Anlagen;1500
Amtsgebäude Schmiedgasse 1-5;Instandh. Telefonanlage;500
Amtsgebäude Schmiedgasse 1-5;Telekommunikationsdienste FW-Notruf;1500
Amtsgebäude Schmiedgasse 1-5;Versicherungen;3100
Amtsgebäude Schmiedgasse 1-5;Miete Telefonanlage;24000
Amtsgebäude Schmiedgasse 1-5;Miet- und Pachtaufwand Gebäude;2600
Amtsgebäude Schmiedgasse 1-5;Öffentliche Abgaben;1700
Amtsgebäude Schmiedgasse 1-5;Kostenbeiträge / Verumlagung;0
Amtsgebäude Schmiedgasse 1-5;Sonstige Leistungen;3000
Amtsgebäude Schmiedgasse 1-5;Aufwand Hygieneartikel;5000
Amtsgebäude Schmiedgasse 1-5;Sonstige Aufwendungen;1000
Bauamt;Amtsausstattung;8600
Bauamt;Gw. Wg. des Anlagevermögens;2500
Bauamt;Schreib- und Büromittel;4000
Bauamt;Druckwerke;1000
Bauamt;Vervielfältigungen;10000
Bauamt;Geldbezüge der Beamten;208900
Bauamt;Geldbezüge Angestellte;982600
Bauamt;Geldbezüge Aushilfen;7600
Bauamt;Reisegebühren;12400
Bauamt;Sonst.Aufwandsentschä.;10700
Bauamt;Mehrleistungsvergütung;48200
Bauamt;Dienstjubiläen;25300
Bauamt;Dgb-Beamte;6000
Bauamt;Dgb-Angest.Und Arbeit.;199100
Bauamt;Pensionskassa DG-Beitrag;8400
Bauamt;Mitarbeitervorsorge (Abfertigung neu);13500
Bauamt;Fla-Btg.F.Angest.U.Arb;46300
Bauamt;Instandh. Einrichtung;600
Bauamt;Maßnahmen gegen Arbeitslosigkeit;1000
Bauamt;Entgelte für sonstige Leistungen / Fachbeirat;26000
Bauamt;Entgelte für sonstige Leistungen / Energiebuchhaltung;16500
Bauamt;Dv-Programme;11100
Bauamt;Sonstige Aufwendungen;3000
Amt für Raumordung und Raumplanung;Entgelte für sonstige Leistungen;1000
Amt für Raumordung und Raumplanung;Entgelte für sonstige Leistungen / Mobilitätsmanagement;24500
Amt für Raumordung und Raumplanung;Entgelte für sonstige Leistungen / Planungsprojekte allgemein;40000
Amt für Raumordung und Raumplanung;Entgelte für sonstige Leistungen / Fahrradprojekte;55000
Amt für Raumordung und Raumplanung;Entgelte für sonstige Leistungen / STEP/REK;32000
Amt für Raumordung und Raumplanung;Transfers an private Organisationen;0
Vermessungsamt;Instandhaltung von sonstigen Anlagen;1300
Vermessungsamt;Entgelte für sonstige Leistungen;15000
Digitale geographische Daten;Entgelte für sonstige Leistungen / digitale geografische Daten;34000
Digitale geographische Daten;Dv-Programme;17000
Beiträge an Verbände, Vereine;Mitgliedsbeiträge an Institutionen;150600
Beiträge an Verbände, Vereine;Transfers an private Organisationen / Politische Parteien;38000
Städtekontakte und Partnerschaften;Zuw.Veranstaltungen;5000
Verfügungsmittel;Sonstige Aufwendungen;3700
Pensionen;Pensionen Ruhebezüge;2811400
Bezugsvorschüsse und Darlehen;Bezugsvorschüsse;45000
Personalausbildung und Personalfortbildung;Aufwand Schulungsräume;3000
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke;75000
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke Gruppe 1;17000
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke Gruppe 2;5000
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke Polizei;0
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke Kindergärten;22000
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke Musikschule;5000
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke Gruppe 3;17000
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke Gruppe 4;25000
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke Lehrlinge;12000
Personalausbildung und Personalfortbildung;Entgelte für sonstige Leistungen / Ausbildungszwecke Schülerbetreuung;15000
Gemeinschaftspflege;Sonstige Aufwendungen / Gemeinschaftspflege;57000
Gemeinschaftspflege;Betriebssport;2600
Gemeinschaftspflege;Betriebliche Gesundheitsförderung;25000
Stadtpolizei;Fahrzeuge;3500
Stadtpolizei;Amtsausstattung;1500
Stadtpolizei;Ausrüstung;9300
Stadtpolizei;Gw. Wg. des Anlagevermögens;1000
Stadtpolizei;Gw.Ausrüstung und  Bekleidung;13100
Stadtpolizei;Treibstoffe;5900
Stadtpolizei;Schreib- und Büromittel;500
Stadtpolizei;Druckwerke;5000
Stadtpolizei;Vervielfältigungen;2000
Stadtpolizei;Sonstige Verbrauchsgüter / Munition;4000
Stadtpolizei;Geldbezüge der Beamten;282100
Stadtpolizei;Geldbezüge Angestellte;997300
Stadtpolizei;Geldbezüge Aushilfen;1900
Stadtpolizei;Reisegebühren;10200
Stadtpolizei;Mehrleistungsvergütung;46300
Stadtpolizei;Dienstjubiläen;13900
Stadtpolizei;Sonstige Nebengebühren;56300
Stadtpolizei;Dgb-Beamte;11900
Stadtpolizei;Dgb-Angest.Und Arbeit.;223400
Stadtpolizei;Pensionskassa DG-Beitrag;9700
Stadtpolizei;Mitarbeitervorsorge (Abfertigung neu);10400
Stadtpolizei;Fla-Btg.F.Angest.U.Arb;54400
Stadtpolizei;Instandhaltung von Fahrzeugen;2500
Stadtpolizei;Instandhaltung von sonstigen Anlagen / Ausrüstung;1000
Stadtpolizei;Instandh.Ausrüstung, Uniformen;4000
Stadtpolizei;Telekommunikationsdienste;3000
Stadtpolizei;Bankspesen Strafgelder;2500
Stadtpolizei;Versicherungen;6800
Stadtpolizei;Miete für Garage (Raiba);1200
Stadtpolizei;Leasing Kfz;14900
Stadtpolizei;Entgelte für sonstige Leistungen;1300
Stadtpolizei;DV-Programme;4300
Stadtpolizei;Sonstige Aufwendungen;1000
Stadtpolizei;Schulung,Fortbildung;8000
Stadtpolizei;Aufwand für  Fundgegenstände;500
Stadtarrest;Verpflegskosten für  Inhaftierte;100
Stadtarrest;Mittel zur ärztlichen Betreuung;1600
Stadtarrest;Instandhaltung von sonstigen Anlagen;100
Stadtarrest;Sonstige Aufwendungen;1000
Bau- und Feuerpolizei;Geldbezüge Angestellte;50600
Bau- und Feuerpolizei;Reisegebühren;4300
Bau- und Feuerpolizei;Dgb-Angest.Und Arbeit.;10100
Bau- und Feuerpolizei;Pensionskassa DG-Beitrag;400
Bau- und Feuerpolizei;Mitarbeitervorsorge (Abfertigung neu);800
Bau- und Feuerpolizei;Fla-Btg.F.Angest.U.Arb;2000
Bau- und Feuerpolizei;Entgelte für Amtssachverständige;8000
Gesundheitspolizei;Entgelte für sonstige Leistungen / Totenbeschau, Obduktionen, Bergungen;100000
Viehseuchenbekämpfung;Chemische -und artverwandte Mittel;10000
Viehseuchenbekämpfung;Entgelte für Impfungen;3000
Viehseuchenbekämpfung;Transfers an Unternehmen;0
Feuerwehr Feldkirch;Ausrüstung und Löschgeräte;25200
Feuerwehr Feldkirch;Schuldentilgung;5300
Feuerwehr Feldkirch;Gw.Wg.,Ausrüstung und  Bekleidung;6100
Feuerwehr Feldkirch;Schlauchmaterial für alle Wehren;10000
Feuerwehr Feldkirch;Brennstoffe;4300
Feuerwehr Feldkirch;Treibstoffe;2100
Feuerwehr Feldkirch;Reinigungsmittel;600
Feuerwehr Feldkirch;Chemische und sonstige artverwandte Mittel / Sauerstoff und Schaum;1300
Feuerwehr Feldkirch;Sonstige Verbrauchsgüter;700
Feuerwehr Feldkirch;Energiebezüge;7000
Feuerwehr Feldkirch;Instandhaltung von Grund und Boden;300
Feuerwehr Feldkirch;Instandhaltung von Gebäuden und Bauten;9000
Feuerwehr Feldkirch;Instandh. Aufzug;500
Feuerwehr Feldkirch;Instandh. Heizung;2000
Feuerwehr Feldkirch;Instandhaltung von Fahrzeugen;22200
Feuerwehr Feldkirch;Instandhaltung von sonstigen Anlagen / Ausrüstung;6000
Feuerwehr Feldkirch;Telekommunikationsdienste;2300
Feuerwehr Feldkirch;Kreditzinsen;1200
Feuerwehr Feldkirch;Versicherungen;3800
Feuerwehr Feldkirch;Miete GIG;58000
Feuerwehr Feldkirch;Öffentliche Abgaben;6200
Feuerwehr Feldkirch;Kostenbeiträge / Verumlagung;0
Feuerwehr Feldkirch;Entgelte für sonstige Leistungen;5500
Feuerwehr Feldkirch;Dv-Programme;1800
Feuerwehr Feldkirch;Aufwand Hygieneartikel;500
Feuerwehr Feldkirch;Sonstige Aufwendungen;6800
Feuerwehr Feldkirch;Transfers an Unternehmen / GIG;106400
Feuerwehr Altenstadt;Ausrüstung und Löschgeräte;19900
Feuerwehr Altenstadt;Gw.Wg.,Ausrüstung und  Bekleidung;6100
Feuerwehr Altenstadt;Brennstoffe;2200
Feuerwehr Altenstadt;Treibstoffe;1700
Feuerwehr Altenstadt;Reinigungsmittel;400
Feuerwehr Altenstadt;Chemische und sonstige artverwandte Mittel / Sauerstoff und Schaum;1000
Feuerwehr Altenstadt;Sonstige Verbrauchsgüter;800
Feuerwehr Altenstadt;Energiebezüge;3000
Feuerwehr Altenstadt;Instandhaltung von Grund und Boden;300
Feuerwehr Altenstadt;Instandhaltung von Gebäuden und Bauten;4000
Feuerwehr Altenstadt;Instandh. Heizung;1000
Feuerwehr Altenstadt;Instandhaltung von Fahrzeugen;8000
Feuerwehr Altenstadt;Instandhaltung von sonstigen Anlagen / Ausrüstung;2500
Feuerwehr Altenstadt;Telekommunikationsdienste;1700
Feuerwehr Altenstadt;Versicherungen;1700
Feuerwehr Altenstadt;Öffentliche Abgaben;600
Feuerwehr Altenstadt;Kostenbeiträge / Verumlagung;0
Feuerwehr Altenstadt;Entgelte für sonstige Leistungen;3500
Feuerwehr Altenstadt;Sonstige Aufwendungen;3900
Feuerwehr Gisingen;Ausrüstung und Löschgeräte;23300
Feuerwehr Gisingen;Gw.Wg.,Ausrüstung und  Bekleidung;6100
Feuerwehr Gisingen;Brennstoffe;4400
Feuerwehr Gisingen;Treibstoffe;2000
Feuerwehr Gisingen;Reinigungsmittel;400
Feuerwehr Gisingen;Chemische und sonstige artverwandte Mittel / Sauerstoff und Schaum;1500
Feuerwehr Gisingen;Sonstige Verbrauchsgüter;1000
Feuerwehr Gisingen;Energiebezüge;3000
Feuerwehr Gisingen;Instandhaltung von Gebäuden und Bauten;8000
Feuerwehr Gisingen;Instandh. Heizung;2000
Feuerwehr Gisingen;Instandhaltung von Fahrzeugen;15500
Feuerwehr Gisingen;Instandhaltung von sonstigen Anlagen / Ausrüstung;3500
Feuerwehr Gisingen;Instandh. Telefonanlage;300
Feuerwehr Gisingen;Telekommunikationsdienste;1700
Feuerwehr Gisingen;Versicherungen;2400
Feuerwehr Gisingen;Kostenbeiträge / Verumlagung;0
Feuerwehr Gisingen;Entgelte für sonstige Leistungen;5700
Feuerwehr Gisingen;Sonstige Aufwendungen;6000
Feuerwehr Nofels;Ausrüstung und Löschgeräte;27800
Feuerwehr Nofels;Schuldentilgung Lwbf;700
Feuerwehr Nofels;Schuldentilgung;8800
Feuerwehr Nofels;Gw.Wg.,Ausrüstung und  Bekleidung;6100
Feuerwehr Nofels;Brennstoffe;3500
Feuerwehr Nofels;Treibstoffe;1600
Feuerwehr Nofels;Reinigungsmittel;300
Feuerwehr Nofels;Chemische und sonstige artverwandte Mittel / Sauerstoff und Schaum;1300
Feuerwehr Nofels;Sonstige Verbrauchsgüter;500
Feuerwehr Nofels;Energiebezüge;4500
Feuerwehr Nofels;Instandhaltung von Gebäuden und Bauten;4000
Feuerwehr Nofels;Instandh. Heizung, Klimaanl.;0
Feuerwehr Nofels;Instandhaltung von Fahrzeugen;6500
Feuerwehr Nofels;Instandhaltung von sonstigen Anlagen / Ausrüstung;3000
Feuerwehr Nofels;Telekommunikationsdienste;2400
Feuerwehr Nofels;Kreditzinsen;1500
Feuerwehr Nofels;Versicherungen;1700
Feuerwehr Nofels;Entgelte für sonstige Leistungen;3000
Feuerwehr Nofels;Dv-Programme;600
Feuerwehr Nofels;Sonstige Aufwendungen;4000
Feuerwehr Tosters;Ausrüstung und Löschgeräte;18700
Feuerwehr Tosters;Gw.Wg.,Ausrüstung und  Bekleidung;6100
Feuerwehr Tosters;Brennstoffe;9000
Feuerwehr Tosters;Treibstoffe;1300
Feuerwehr Tosters;Reinigungsmittel;400
Feuerwehr Tosters;Chemische und sonstige artverwandte Mittel / Sauerstoff und Schaum;1500
Feuerwehr Tosters;Sonstige Verbrauchsgüter;900
Feuerwehr Tosters;Energiebezüge;5000
Feuerwehr Tosters;Instandhaltung von Gebäuden und Bauten;4000
Feuerwehr Tosters;Instandh. Heizung;1000
Feuerwehr Tosters;Instandhaltung von Fahrzeugen;6500
Feuerwehr Tosters;Instandhaltung von sonstigen Anlagen / Ausrüstung;2700
Feuerwehr Tosters;Telekommunikationsdienste;1800
Feuerwehr Tosters;Kreditzinsen;1800
Feuerwehr Tosters;Versicherungen;2600
Feuerwehr Tosters;Miete GIG;24000
Feuerwehr Tosters;Öffentliche Abgaben;1300
Feuerwehr Tosters;Kostenbeiträge / Verumlagung;0
Feuerwehr Tosters;Entgelte für sonstige Leistungen;4600
Feuerwehr Tosters;Dv-Programme;1300
Feuerwehr Tosters;Sonstige Aufwendungen;4200
Feuerwehr Tosters;Transfers an Unternehmen / GIG;30100
Feuerwehr Tisis;Ausrüstung und Löschgeräte;100
Feuerwehr Tisis;Gw.Wg.,Ausrüstung und  Bekleidung;6100
Feuerwehr Tisis;Treibstoffe;900
Feuerwehr Tisis;Reinigungsmittel;300
Feuerwehr Tisis;Chemische und sonstige artverwandte Mittel / Sauerstoff und Schaum;1200
Feuerwehr Tisis;Sonstige Verbrauchsgüter;500
Feuerwehr Tisis;Energiebezüge;4000
Feuerwehr Tisis;Instandhaltung von Gebäuden und Bauten;7000
Feuerwehr Tisis;Instandhaltung von Fahrzeugen;6000
Feuerwehr Tisis;Instandhaltung von sonstigen Anlagen / Ausrüstung;5800
Feuerwehr Tisis;Telekommunikationsdienste;1500
Feuerwehr Tisis;Versicherungen;1500
Feuerwehr Tisis;Kostenbeiträge / Verumlagung;0
Feuerwehr Tisis;Entgelte für sonstige Leistungen;3600
Feuerwehr Tisis;Sonstige Aufwendungen;3600
Sonstige Einrichtungen und Maßnahmen;Sonstige Aufwendungen / Katastrophenübung;15000
Zivilschutz;Betriebsausstattung;5000
Zivilschutz;Geringwertige Wirtschaftsgüter;5000
Zivilschutz;Energiebezüge;0
Zivilschutz;Instandhaltung von Gebäuden und Bauten;0
Zivilschutz;Mitgliedsbeiträge an Institutionen;1200
Zivilschutz;Sonstige Aufwendungen;500
Zivilschutz;Zivilschutzstollen;2800
Abteilung Sport und Bildung;Gw. Wg. des Anlagevermögens;500
Abteilung Sport und Bildung;Schreib- und Büromittel;1000
Abteilung Sport und Bildung;Geldbezüge Angestellte;292700
Abteilung Sport und Bildung;Geldbezüge Aushilfen;0
Abteilung Sport und Bildung;Reisegebühren;2700
Abteilung Sport und Bildung;Sonst.Aufwandsentschä.;5700
Abteilung Sport und Bildung;Mehrleistungsvergütung;6900
Abteilung Sport und Bildung;Dgb-Angest.Und Arbeit.;61500
Abteilung Sport und Bildung;Kommunalsteuer;0
Abteilung Sport und Bildung;Pensionskassa DG-Beitrag;2400
Abteilung Sport und Bildung;Mitarbeitervorsorge (Abfertigung neu);3000
Abteilung Sport und Bildung;FLA-Btg.f.Angest.u.Arb.;12000
Abteilung Sport und Bildung;Telekommunikationsdienste;900
Abteilung Sport und Bildung;Amtspauschalien und Repräsentationsaufwendungen;8500
Abteilung Sport und Bildung;Sonstige Aufwendungen;3000
Volksschule Levis/Stadt;Betriebsausstattung;6200
Volksschule Levis/Stadt;Geringwertige Wirtschaftsgüter;0
Volksschule Levis/Stadt;Gw.Wg. Schulerhaltung;1500
Volksschule Levis/Stadt;Lebensmittel;48000
Volksschule Levis/Stadt;Brennstoffe;13400
Volksschule Levis/Stadt;Reinigungsmittel;3000
Volksschule Levis/Stadt;Vervielfältigungen;5100
Volksschule Levis/Stadt;Sonstige Verbrauchsgüter;1200
Volksschule Levis/Stadt;Schülerbetreuung;0
Volksschule Levis/Stadt;Geldbezüge Angestellte;34000
Volksschule Levis/Stadt;Geldbezüge Arbeiter;15900
Volksschule Levis/Stadt;Geldbezüge Aushilfen;8300
Volksschule Levis/Stadt;Reisegebühren;500
Volksschule Levis/Stadt;Mehrleistungsvergütung;2100
Volksschule Levis/Stadt;Dgb-Angest.Und Arbeit.;12200
Volksschule Levis/Stadt;Pensionskassa DG-Beitrag;400
Volksschule Levis/Stadt;Mitarbeitervorsorge (Abfertigung neu);700
Volksschule Levis/Stadt;Fla-Btg.F.Angest.U.Arb;2300
Volksschule Levis/Stadt;Energiebezüge;12000
Volksschule Levis/Stadt;Instandhaltung von Grund und Boden;8000
Volksschule Levis/Stadt;Instandhaltung von Spielplatzeinrichtungen;300
Volksschule Levis/Stadt;Instandhaltung von Gebäuden und Bauten;18000
Volksschule Levis/Stadt;Instandh. Aufzug;1000
Volksschule Levis/Stadt;Instandh. Heizung;4000
Volksschule Levis/Stadt;Fremdreinigung;3000
Volksschule Levis/Stadt;Instandhaltung von sonstigen Anlagen;2500
Volksschule Levis/Stadt;Instandh. Telefonanlage;400
Volksschule Levis/Stadt;Telekommunikationsdienste;2500
Volksschule Levis/Stadt;Kreditzinsen;100
Volksschule Levis/Stadt;Versicherungen;3200
Volksschule Levis/Stadt;Öffentliche Abgaben;3700
Volksschule Levis/Stadt;Kostenbeiträge für Leistungen;7500
Volksschule Levis/Stadt;Kostenbeiträge / Verumlagung;0
Volksschule Levis/Stadt;Sonstige Leistungen;1000
Volksschule Levis/Stadt;Entgelte für sonstige Leistungen / Schülerbetreuung;130000
Volksschule Levis/Stadt;DV-Programme;3000
Volksschule Levis/Stadt;Aufwand Hygieneartikel;2000
Volksschule Levis/Stadt;Sonstige Ausgaben;1500
Volksschule Altenstadt;Betriebsausstattung;7000
Volksschule Altenstadt;Geringwertige Wirtschaftsgüter;700
Volksschule Altenstadt;Gw.Wg. Schulerhaltung;1000
Volksschule Altenstadt;Lebensmittel;25000
Volksschule Altenstadt;Brennstoffe;29500
Volksschule Altenstadt;Reinigungsmittel;2200
Volksschule Altenstadt;Vervielfältigungen;6000
Volksschule Altenstadt;Sonstige Verbrauchsgüter;1000
Volksschule Altenstadt;Geldbezüge Angestellte;17200
Volksschule Altenstadt;Geldbezüge Arbeiter;45800
Volksschule Altenstadt;Geldbezüge Aushilfen;2600
Volksschule Altenstadt;Reisegebühren;500
Volksschule Altenstadt;Mehrleistungsvergütung;1600
Volksschule Altenstadt;Dgb-Angest.Und Arbeit.;13400
Volksschule Altenstadt;Pensionskassa DG-Beitrag;400
Volksschule Altenstadt;Mitarbeitervorsorge (Abfertigung neu);700
Volksschule Altenstadt;Fla-Btg.F.Angest.U.Arb;2600
Volksschule Altenstadt;Energiebezüge;16000
Volksschule Altenstadt;Instandhaltung von Grund und Boden;10000
Volksschule Altenstadt;Instandhaltung von Gebäuden und Bauten;13000
Volksschule Altenstadt;Instandh. Heizung;3000
Volksschule Altenstadt;Fremdreinigung;2000
Volksschule Altenstadt;Instandhaltung von sonstigen Anlagen;4000
Volksschule Altenstadt;Instandh. Telefonanlage;500
Volksschule Altenstadt;Telekommunikationsdienste;2300
Volksschule Altenstadt;Versicherungen;4100
Volksschule Altenstadt;Miete GIG;9000
Volksschule Altenstadt;Kostenbeiträge für Leistungen;7400
Volksschule Altenstadt;Sonstige Leistungen;1000
Volksschule Altenstadt;Entgelte für sonstige Leistungen / Schülerbetreuung;120000
Volksschule Altenstadt;DV-Programme;2500
Volksschule Altenstadt;Aufwand Hygieneartikel;2000
Volksschule Altenstadt;Sonstige Ausgaben;600
Volksschule Gisingen Sebastianplatz;Betriebsausstattung;11600
Volksschule Gisingen Sebastianplatz;Geringwertige Wirtschaftsgüter;0
Volksschule Gisingen Sebastianplatz;Gw.Wg. Schulerhaltung;1500
Volksschule Gisingen Sebastianplatz;Lebensmittel;14000
Volksschule Gisingen Sebastianplatz;Brennstoffe;14000
Volksschule Gisingen Sebastianplatz;Reinigungsmittel;2400
Volksschule Gisingen Sebastianplatz;Vervielfältigungen;6000
Volksschule Gisingen Sebastianplatz;Sonstige Verbrauchsgüter;1800
Volksschule Gisingen Sebastianplatz;Geldbezüge Angestellte;38700
Volksschule Gisingen Sebastianplatz;Geldbezüge Arbeiter;19300
Volksschule Gisingen Sebastianplatz;Geldbezüge Aushilfen;2100
Volksschule Gisingen Sebastianplatz;Reisegebühren;500
Volksschule Gisingen Sebastianplatz;Mehrleistungsvergütung;2100
Volksschule Gisingen Sebastianplatz;Dgb-Angest.Und Arbeit.;12400
Volksschule Gisingen Sebastianplatz;Pensionskassa DG-Beitrag;500
